seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado,direccion,lat,lon,epsg
65,30,23,137226.0,NEUQUEN,2945,2020-01-23,NEUQUEN 2945,-34.621372,-58.474628,4326
22,22,043A,181693.0,PICHINCHA,1547,2020-01-23,PICHINCHA 1547,-34.627441,-58.397032,4326
22,44,34,180803.0,RINCON,983,2020-01-23,RINCON 983,-34.620358,-58.395894,4326
48,114A,13,142328.0,CIPOLLETTI,554,2020-01-23,CIPOLLETTI 554,-34.634893,-58.458486,4326
22,22,44,181694.0,PICHINCHA,1527,2020-01-23,PICHINCHA 1527,-34.627364,-58.397045,4326
77,42,20,5224.0,RIVADAVIA AV.,8867,2020-01-23,RIVADAVIA AV. 8867,-34.635371,-58.488919,4326
12,46,30,217078.0,MORENO,1223,2020-01-23,MORENO 1223,Sin dato,Sin dato,Sin dato
49,55,3,241200.0,ALVAREZ THOMAS AV.,2226,2020-01-23,ALVAREZ THOMAS AV. 2226,-34.577978,-58.472514,4326
22,67,7,180091.0,"CALVO, CARLOS",1852,2020-01-23,"CALVO, CARLOS 1852",-34.620314,-58.392459,4326
15,8,1,444808.0,"DIAZ, CNEL. AV.",1596,2020-01-23,"DIAZ, CNEL. AV. 1596",-34.592395,-58.413042,4326
47,022A,18,229691.0,BATALLA DEL PARI,661,2020-01-23,BATALLA DEL PARI 661,-34.600645,-58.454137,4326
39,86,002D,326607.0,BLANCO ENCALADA,2664,2020-01-23,BLANCO ENCALADA 2664,-34.560721,-58.461543,4326
48,100C,9,143160.0,PEDERNERA,1050,2020-01-23,PEDERNERA 1050,-34.640076,-58.456181,4326
67,29,009D,296457.0,"BELAUSTEGUI, LUIS, Dr.",2998,2020-01-23,"BELAUSTEGUI, LUIS, Dr. 2998",-34.617086,-58.478561,4326
48,74,31,144009.0,CULPINA,880,2020-01-23,CULPINA 880,-34.639261,-58.461166,4326
65,36,001M,136685.0,NAZCA AV.,677,2020-01-23,NAZCA AV. 677,-34.624411,-58.472344,4326
8,74,019A,110020.0,BRASIL AV.,351,2020-01-23,BRASIL AV. 351,-34.625291,-58.370560,4326
65,54,003A,149256.0,AVELLANEDA AV.,2676,2020-01-23,AVELLANEDA AV. 2676,-34.625441,-58.468332,4326
45,79,21,175182.0,RIVADAVIA AV.,4953,2020-01-23,RIVADAVIA AV. 4953,-34.617627,-58.435152,4326
22,38,4,181001.0,PAVON,2144,2020-01-23,PAVON 2144,-34.626763,-58.394925,4326
19,116,5,426525.0,PARAGUAY,4156,2020-01-23,PARAGUAY 4156,-34.587346,-58.420825,4326
19,155,016A,427764.0,"BORGES, JORGE LUIS",2337,2020-01-23,"BORGES, JORGE LUIS 2337",-34.583534,-58.422745,4326
81,13,9,277521.0,"BEIRO, FRANCISCO AV.",4318,2020-01-23,"BEIRO, FRANCISCO AV. 4318",-34.605850,-58.511622,4326
30,57,37,183766.0,"GARAY, JUAN DE AV.",3033,2020-01-23,"GARAY, JUAN DE AV. 3033",-34.629288,-58.407167,4326
5,33,029B,222333.0,URUGUAY AV.,632,2020-01-23,URUGUAY AV. 632,-34.601368,-58.386826,4326
15,71,20,445914.0,PEÑA,2939,2020-01-23,PEÑA 2939,-34.586580,-58.404006,4326
35,109,29,413865.0,"NEWBERY, JORGE",2441,2020-01-23,"NEWBERY, JORGE 2441",-34.572592,-58.441308,4326
48,56,23,144609.0,CASTAÑON,956,2020-01-23,CASTAÑON 956,-34.640868,-58.461367,4326
41,12,4,372885.0,ROOSEVELT FRANKLIN D.,3674,2020-01-24,ROOSEVELT FRANKLIN D. 3674,-34.564938,-58.473002,4326
41,12,3,372886.0,ROOSEVELT FRANKLIN D.,3670,2020-01-24,ROOSEVELT FRANKLIN D. 3670,-34.564898,-58.472935,4326
39,88,003D,325192.0,AMENABAR,1887,2020-01-24,AMENABAR 1887,-34.565198,-58.456747,4326
65,108,023B,134765.0,GAVILAN,1010,2020-01-24,GAVILAN 1010,-34.617879,-58.464963,4326
